"id","month","fire55","fire56","fire57","dead55","dead56","dead57","injury55","injury56","injury57"
"01","มกราคม","110","92","141","4","2","4","17","29","13"
"02","กุมภาพันธ์","81","103","104","0","1","0","5","26","7"
"03","มีนาคม","110","78","116","2","0","1","28","10","19"
"04","เมษายน","120","104","82","4","0","1","9","4","9"
"05","พฤษภาคม","95","122","135","0","0","1","5","23","5"
"06","มิถุนายน","68","124","96","1","2","0","4","11","9"
"07","กรกฎาคม","84","109","106","0","1","0","10","7","11"
"08","สิงหาคม","91","128","121","0","0","0","13","11","7"
"09","กันยายน","89","109","108","2","0","0","3","3","1"
"10","ตุลาคม","111","114","126","1","1","1","7","6","6"
"11","พฤศจิกายน","87","116","115","1","0","1","22","13","3"
"12","ธันวาคม","99","112","123","2","0","0","14","2","2"
